,store,address,phone
45,고덕역점,서울특별시 강동구 동남로 73길 31(명일동 1층),02-3426-6241
46,고신의대점,부산광역시 서구 감천로 262(암남동  고신대학교 의과대학),051-256-6173
47,고창병원점,전라북도 고창군 고창읍 화신1길 9 고창병원 1층,
48,공주중동점,충청남도 공주시 중동 67-3번지 1 2F,041-857-6232
49,공주휴게소(당진방향)점,충청남도 공주시 의당면 당진영덕고속도로 71 공주(당진방향)휴게소,
50,광양이순신대교점,전라남도 광양시 중동 102-20 ,061-795-4882
51,광주구호전장례식장점,광주광역시 북구 독립로 409 ,062-518-6234
52,광주만평장례식장점,광주광역시 광산구 우산동 621-2,062-944-6232
53,광주상무지구점,광주광역시 서구 상무연하로 50,
54,광주수완1호점,광주광역시 광산구 임방울대로 327  1 2층(수완동),062-952-6232
55,광주쌍촌점,광주광역시 서구 쌍촌동 964-8 1층,062-385-6232
56,광주오일팔공원점,광주광역시 서구 쌍촌동 1271-1 1층 2층,062-381-6233
57,광주유스퀘어점,광주광역시 서구 무진대로 904(광천동 유스퀘어내1층),062-352-6232
58,광주현대웰빙랜드점,광주광역시 북구 운암동 118-14 1층,062-511-6232
59,구리돌다리점,경기도 구리시 경춘로 244번길 B (수택동  1층),031-564-6232
60,구미문성못점 (휴점),경상북도 구미시 고아읍 들성로 177 1동 1층,054-453-8012
61,군산산북점,전라북도 군산시 부원로 129 (산북동),063-462-6232
62,군산시청점,전라북도 군산시 조촌로 44(조촌동),063-451-0288
63,군산은파호수점,전라북도 군산시 동지곡길 177-4(지곡동),070-8899-6232
64,금촌로터리점,경기도 파주시 번영로 11 (금촌동  1층),031-949-0533
65,김제검산점,전라북도 김제시 검산동 844 1층,063-544-6232
66,김천구미KTX점,경상북도 김천시 남면 혁신1로 51 ,
67,김포사우점,경기도 김포시 사우동 942,031-998-6234
68,김해공항1층점,부산광역시 강서구 공항진입로 108 (대저2동  국내선1층),051-941-8626
69,김해어방점,경상남도 김해시 어방동 1088-7번지 1층,055-325-9777
70,김해휴앤락점,경상남도 김해시 내외중앙로 137(내동 휴앤락몰),070-8882-5422
71,남양주진접지구점,경기도 남양주시 진접읍 해밀예당1로 50-47 (리첸타워101호),031-575-6231
72,남원춘향점,전라북도 남원시 어현동 37-64,063-635-6232
73,남춘천역점,강원도 춘천시 우묵길 26 (퇴계동  1 2층),033-251-1012
74,남한산성역점,경기도 성남시 수정구 양지동 857,031-731-2301
75,대구신월성점,"대구광역시 달서구 조암로 32, 2층 202호(월성동, 외 1필지 신월성 에코시티상가)", 053-639-0770
76,대구아카데미점,대구광역시 중구 중앙대로 412-23,053-279-1259
77,대구이곡점,대구광역시 달서구 이곡공원로 24 (이곡동),053-593-4010
78,대구장기점,대구광역시 달서구 장기로 276,053-568-1120
79,대전농협하나로마트점,대전광역시 중구 대둔산로199번길 43,
80,대전은행동점,대전광역시 중구 은행동 170-42외,042-226-6232
81,대천메리머드호텔점 (휴점),충청남도 보령시 해수욕장 8길 52 (신흑동) 1층,
82,대천해수욕장점,충청남도 보령시 머드로 118(신흑동 104호),041-931-6231
83,더메이호텔점,경기도 남양주시 별내2로 70  1층 101호 (별내동),031-571-5002
84,더메이호텔점,경기도 남양주시 별내2로 70,031-571-5002
85,덕소역점,경기도 남양주시 와부읍 덕소로 72 (덕소한강벽산메가트리움114),031-521-3732
86,동강휴게소1호점 (휴점),강원도 영월군 남면 강원남로 641,033-648-8850
87,동강휴게소2호점,강원도 영월군 남면 강원남로 641,033-648-8850
88,동인천역점,인천광역시 중구 인현동 29-28 31,032-765-6232
89,동자희망나눔센터점 (휴점),서울시 용산구 후암로57길 35-15 1층,02-3789-5119
90,등촌역점,서울특별시 강서구 등촌동 507-8 에이큐빌딩 1층 101호,02-2645-3262
91,면목홈플러스점,서울특별시 중랑구 면목동 168-2 1층,02-433-9717
92,명일역점,서울특별시 강동구 상암로27길 90,02-481-6232
93,목포MBC점,전라남도 목포시 영산로 323-1(용당동),061-278-6234
94,목포북항점(휴점),전라남도 목포시 청호로 219번길 34-15 씨푸드타운C동 10 ,061-272-6232
95,문경시청점,경상북도 문경시 매봉2길 32(모전동),054-554-9788
96,문막휴게소점,강원도 원주시 문막읍 동화리113,
97,문정애이콤점,서울특별시 송파구 새말로 108  지상 1층 (문정동),02-407-0005
98,미아사거리역점,서울특별시 강북구 도봉로 67  1층 (미아동),02-987-3900
99,백령도점,인천광역시 옹진군 백령면 백령로 236,032-836-6900
